Type	Shape	Chr	Start	End	color
common	circle	19	52095036	52097630	32cd32
common	circle	11	104756445	104769397	32cd32
common	circle	2	132222473	132250316	32cd32
common	circle	11	5363744	5364809	32cd32
common	circle	20	3024268	3026393	32cd32
common	circle	3	73110810	73112488	32cd32
common	circle	12	66696325	66737423	32cd32
common	circle	19	2933216	2944969	32cd32
common	circle	13	73302061	73330336	32cd32
common	circle	1	171106879	171130707	32cd32
common	circle	10	21414692	21435488	32cd32
common	circle	17	59667794	59668563	32cd32
common	circle	11	5423827	5424777	32cd32
common	circle	11	4388493	4389616	32cd32
common	circle	15	81623558	81666554	32cd32
common	circle	12	7456880	7481320	32cd32
common	circle	11	124055923	124056952	32cd32
common	circle	13	31506840	31549639	32cd32
common	circle	20	44509866	44513905	32cd32
common	circle	13	25802307	25862147	32cd32
common	circle	14	94405901	94410475	32cd32
common	circle	14	51324609	51411454	32cd32
common	circle	2	232457575	232458994	32cd32
common	circle	1	230883130	230937749	32cd32
common	circle	9	139632619	139637808	32cd32
common	circle	19	45281126	45303891	32cd32
common	circle	17	39196811	39197713	32cd32
common	circle	11	56380031	56380978	32cd32
common	circle	9	27524312	27526496	32cd32
common	circle	17	39182278	39183454	32cd32
common	circle	5	77656339	77776562	32cd32
common	circle	HSCHR6_MHC_COX	31075027	31100333	32cd32
common	circle	9	21480841	21482312	32cd32
common	circle	HSCHR6_MHC_DBB	32516731	32550833	32cd32
common	circle	17	38854243	38860002	32cd32
common	circle	6	32485120	32498064	32cd32
common	circle	7	36118694	36125346	32cd32
common	circle	4	3578596	3592438	32cd32
common	circle	16	87727144	87729753	32cd32
common	circle	1	248604508	248605434	32cd32
common	circle	14	74058410	74063200	32cd32
common	circle	19	9236688	9237626	32cd32
common	circle	1	220603286	220608023	32cd32
common	circle	9	44867571	44870528	32cd32
common	circle	6	160952515	161087407	32cd32
common	circle	7	100331249	100395419	32cd32
common	circle	11	5461800	5462744	32cd32
common	circle	11	5474638	5475707	32cd32
common	circle	2	102013823	102091165	32cd32
common	circle	9	107366924	107367951	32cd32
common	circle	HG237_PATCH	46011151	46012388	32cd32
common	circle	15	23599895	23612378	32cd32
common	circle	14	92038788	92041383	32cd32
common	circle	19	43715943	43773682	32cd32
common	circle	11	4592653	4599050	32cd32
common	circle	6	31165537	31171745	32cd32
common	circle	16	1823208	1831709	32cd32
common	circle	4	88224941	88244058	32cd32
common	circle	17	34580902	34757050	32cd32
common	circle	9	125390858	125391852	32cd32
common	circle	HSCHR21_4_CTG1_1	34870054	34873585	32cd32
common	circle	3	98072698	98073663	32cd32
common	circle	6	31321649	31324965	32cd32
common	circle	22	17442826	17489112	32cd32
common	circle	17	42785976	42829632	32cd32
common	circle	3	98216448	98217496	32cd32
common	circle	3	98109510	98110475	32cd32
common	circle	11	6173006	6173818	32cd32
common	circle	7	102122892	102158228	32cd32
common	circle	7	150026938	150029808	32cd32
common	circle	HSCHR19LRC_PGF1_CTG1	54931486	54944292	32cd32
common	circle	1	248031277	248060449	32cd32
common	circle	7	64432154	64467062	32cd32
common	circle	11	55339604	55340536	32cd32
common	circle	11	55370830	55371874	32cd32
common	circle	11	56309746	56310757	32cd32
common	circle	HG953_PATCH	71057347	71062953	32cd32
common	circle	17	39253233	39254393	32cd32
common	circle	12	55523465	55524586	32cd32
common	circle	1	158548709	158549689	32cd32
common	circle	8	11618896	11620309	32cd32
common	circle	HSCHR22_2_CTG1	42522487	42526867	32cd32
common	circle	4	9385743	9390709	32cd32
common	circle	12	48596081	48597170	32cd32
common	circle	1	229385383	229387557	32cd32
common	circle	17	8706041	8770994	32cd32
common	circle	11	59244846	59245869	32cd32
common	circle	1	248112160	248113098	32cd32
common	circle	11	58169937	58170882	32cd32
common	circle	17	20352708	20370852	32cd32
common	circle	16	855443	863861	32cd32
common	circle	17	48211104	48227991	32cd32
common	circle	11	56431138	56432163	32cd32
common	circle	1	27695603	27701315	32cd32
common	circle	1	247614255	247615308	32cd32
common	circle	12	53183469	53189901	32cd32
common	circle	5	180581943	180582890	32cd32
common	circle	11	5172239	5207612	32cd32
common	circle	11	89602450	89609185	32cd32
common	circle	13	46276446	46288694	32cd32
common	circle	18	30349758	30354376	32cd32
common	circle	3	159733811	159749210	32cd32
common	circle	7	150147718	150176480	32cd32
common	circle	1	175126123	175162135	32cd32
common	circle	X	75002823	75005079	32cd32
common	circle	X	23925918	23957624	32cd32
common	circle	2	42162508	42181406	32cd32
common	circle	3	108462271	108476231	32cd32
common	circle	16	90036206	90038942	32cd32
common	circle	21	39493545	39560110	32cd32
common	circle	4	177105789	177116822	32cd32
common	circle	1	205682497	205684153	32cd32
common	circle	5	140772381	140892546	32cd32
common	circle	2	232316906	232317864	32cd32
common	circle	1	228391207	228401365	32cd32
common	circle	11	60260251	60274903	32cd32
common	circle	11	58874658	58894883	32cd32
common	circle	9	125273081	125274022	32cd32
common	circle	11	4790209	4791168	32cd32
common	circle	8	39792133	39873910	32cd32
common	circle	3	190040330	190129932	32cd32
common	circle	HSCHR6_MHC_MANN	29068731	29069669	32cd32
common	circle	1	16068917	16074477	32cd32
common	circle	2	240323130	240324058	32cd32
common	circle	4	70454912	70518967	32cd32
common	circle	22	29834572	29838444	32cd32
common	circle	X	31089360	31090170	32cd32
common	circle	3	46411633	46417697	32cd32
common	circle	5	149372681	149380730	32cd32
common	circle	5	5420777	5490347	32cd32
common	circle	15	90291892	90294541	32cd32
common	circle	1	245132652	245134390	32cd32
common	circle	X	54775332	54824673	32cd32
common	circle	11	5775923	5776959	32cd32
common	circle	6	138537129	138539627	32cd32
common	circle	11	57798402	57799403	32cd32
common	circle	9	116172334	116191964	32cd32
common	circle	11	5809084	5810046	32cd32
common	circle	1	26503894	26516377	32cd32
common	circle	14	20528204	20529142	32cd32
common	circle	16	82031221	82045093	32cd32
common	circle	17	15474805	15554967	32cd32
common	circle	HSCHR17_5_CTG4	39447756	39448781	32cd32
common	circle	1	156549519	156556562	32cd32
common	circle	12	98879322	98897633	32cd32
common	circle	4	110834040	110933422	32cd32
common	circle	19	57645464	57656570	32cd32
common	circle	1	54598747	54619443	32cd32
common	circle	17	39215495	39216344	32cd32
common	circle	17	38516907	38520945	32cd32
common	circle	1	32674695	32681797	32cd32
common	circle	3	113953483	113956425	32cd32
common	circle	4	76781020	76823724	32cd32
common	circle	17	7283853	7293093	32cd32
common	circle	11	124266278	124267264	32cd32
common	circle	1	20487746	20503917	32cd32
common	circle	HSCHR10_1_CTG2	27734416	27750597	32cd32
common	circle	HG1287_PATCH	146532044	146535368	32cd32
common	circle	HG1074_PATCH	51196364	51218545	32cd32
common	circle	19	35715703	35719632	32cd32
common	circle	12	11460017	11463369	32cd32
common	circle	2	18736811	18770830	32cd32
common	circle	12	51722227	51740463	32cd32
common	circle	18	641320	658340	32cd32
common	circle	22	20778874	20792146	32cd32
common	circle	HG1133_PATCH	10958650	10959892	32cd32
common	circle	6	132938161	132945414	32cd32
common	circle	5	140240341	140243224	32cd32
common	circle	3	38323785	38360066	32cd32
common	circle	X	142967173	142968355	32cd32
common	circle	6	44126548	44152139	32cd32
common	circle	1	19592476	19600688	32cd32
common	circle	1	248721784	248722797	32cd32
common	circle	HG1133_PATCH	11216134	11217063	32cd32
common	circle	11	76927603	77012732	32cd32
common	circle	9	138515502	138531386	32cd32
common	circle	3	194060494	194072057	32cd32
common	circle	X	36053908	36163187	32cd32
common	circle	11	48285413	48286330	32cd32
common	circle	3	112534556	112565703	32cd32
common	circle	3	44540462	44552128	32cd32
common	circle	18	74207477	74210045	32cd32
common	circle	1	171154347	171181822	32cd32
common	circle	8	82644669	82671750	32cd32
common	circle	10	124214169	124216868	32cd32
common	circle	X	35816459	35821852	32cd32
common	circle	17	33791268	33864880	32cd32
common	circle	4	1385340	1389780	32cd32
common	circle	16	74442529	74455368	32cd32
common	circle	15	42140345	42186275	32cd32
common	circle	14	20665495	20666605	32cd32
common	circle	17	28884130	28890511	32cd32
common	circle	1	156495197	156542396	32cd32
common	circle	10	118187379	118237469	32cd32
common	circle	10	118380465	118404654	32cd32
common	circle	11	55860753	55861762	32cd32
common	circle	17	70036164	70036872	32cd32
common	circle	11	56344212	56345263	32cd32
common	circle	15	20737094	20747114	32cd32
common	circle	22	48934712	48943199	32cd32
common	circle	17	47915671	47925379	32cd32
common	circle	5	95187936	95195837	32cd32
common	circle	10	37414785	37673039	32cd32
common	circle	13	21727734	21750741	32cd32
common	circle	19	1000418	1009731	32cd32
common	circle	2	241615835	241622323	32cd32
common	circle	1	248457918	248458880	32cd32
common	circle	HG971_PATCH	99511459	99551024	32cd32
common	circle	16	3405889	3406924	32cd32
common	circle	9	112952328	112970469	32cd32
common	circle	HSCHR6_MHC_COX	31097829	31099645	32cd32
common	circle	7	18066405	18067486	32cd32
common	circle	6	153019030	153045702	32cd32
common	circle	2	218148742	218621316	32cd32
common	circle	16	1306060	1308532	32cd32
common	circle	HSCHR5_1_CTG1	68577165	68628568	32cd32
common	circle	11	55405834	55406772	32cd32
common	circle	19	41381344	41388657	32cd32
common	circle	1	159409512	159410600	32cd32
common	circle	21	31743709	31744557	32cd32
common	circle	9	70917276	70920000	32cd32
common	circle	6	117113248	117150200	32cd32
common	circle	5	179286013	179288283	32cd32
common	circle	X	69478016	69479654	32cd32
common	circle	22	38474141	38480100	32cd32
common	circle	12	14956506	15059520	32cd32
common	circle	HG1082_HG167_PATCH	140186659	140391929	32cd32
common	circle	19	50003781	50004614	32cd32
common	circle	14	75158879	75179800	32cd32
common	circle	9	35561828	35563896	32cd32
common	circle	18	44548658	44550534	32cd32
common	circle	12	55714346	55715408	32cd32
common	circle	HSCHR19LRC_PGF2_CTG1	54799881	54809979	32cd32
common	circle	7	12370511	12443567	32cd32
common	circle	5	74907284	74967671	32cd32
common	circle	7	99815864	99819113	32cd32
common	circle	2	24299396	24392509	32cd32
common	circle	20	44637547	44645200	32cd32
common	circle	20	123010	126392	32cd32
common	circle	1	67218142	67244470	32cd32
common	circle	HSCHR10_1_CTG5	45798102	45811056	32cd32
common	circle	2	240499995	240507788	32cd32
common	circle	11	48266608	48267622	32cd32
common	circle	HG1440_PATCH	101395448	101397942	32cd32
