Chr	Start	End	Value
12	35800000	38200000	-100
12	38200000	46400000	100
12	46400000	49100000	0
12	49100000	51500000	25
12	51500000	54900000	0
12	54900000	56600000	25
12	56600000	58100000	0
12	58100000	63100000	75
12	63100000	65100000	0
12	65100000	67700000	50
12	67700000	71500000	0
12	71500000	75700000	75
12	75700000	80300000	0
12	80300000	86700000	100
12	86700000	89000000	0
12	89000000	92600000	100
12	92600000	96200000	0
12	96200000	101600000	75
12	101600000	103800000	0
12	103800000	109000000	50
12	109000000	111700000	0
12	111700000	112300000	25
12	112300000	114300000	0
12	114300000	116800000	50
12	116800000	118100000	0
12	118100000	120700000	50
12	120700000	125900000	0
12	125900000	129300000	50
12	129300000	133851895	0
13	0	4500000	10
13	4500000	10000000	-10
13	10000000	16300000	10
13	16300000	17900000	-100
13	17900000	19500000	-100
13	19500000	23300000	0
13	23300000	25500000	25
13	25500000	27800000	0
13	27800000	28900000	25
13	28900000	32200000	0
13	32200000	34000000	50
13	34000000	35500000	0
13	35500000	40100000	75
13	40100000	45200000	0
13	45200000	45800000	25
13	45800000	47300000	0
13	47300000	50900000	50
13	50900000	55300000	0
13	55300000	59600000	100
13	59600000	62300000	0
13	62300000	65700000	75
13	65700000	68600000	0
13	68600000	73300000	100
13	73300000	75400000	0
13	75400000	77200000	50
13	77200000	79000000	0
13	79000000	87700000	100
13	87700000	90000000	0
13	90000000	95000000	100
13	95000000	98200000	0
13	98200000	99300000	25
13	99300000	101700000	0
13	101700000	104800000	100
13	104800000	107000000	0
13	107000000	110300000	100
13	110300000	115169878	0
14	0	3700000	10
14	3700000	8100000	-10
14	8100000	16100000	10
14	16100000	17600000	-100
14	17600000	19100000	-100
14	19100000	24600000	0
14	24600000	33300000	100
14	33300000	35300000	0
14	35300000	36600000	50
14	36600000	37800000	0
14	37800000	43500000	100
14	43500000	47200000	0
14	47200000	50900000	100
14	50900000	54100000	0
14	54100000	55500000	25
14	55500000	58100000	0
14	58100000	62100000	75
14	62100000	64800000	0
14	64800000	67900000	50
14	67900000	70200000	0
14	70200000	73800000	50
14	73800000	79300000	0
14	79300000	83600000	100
14	83600000	84900000	0
14	84900000	89800000	100
14	89800000	91900000	0
14	91900000	94700000	25
14	94700000	96300000	0
14	96300000	101400000	50
14	101400000	103200000	0
14	103200000	104000000	50
14	104000000	107349540	0
15	0	3900000	10
15	3900000	8700000	-10
15	8700000	15800000	10
15	15800000	19000000	-100
15	19000000	20700000	-100
15	20700000	25700000	0
15	25700000	28100000	50
15	28100000	30300000	0
15	30300000	31200000	50
15	31200000	33600000	0
15	33600000	40100000	75
15	40100000	42800000	0
15	42800000	43600000	25
15	43600000	44800000	0
15	44800000	49500000	75
15	49500000	52900000	0
15	52900000	59100000	75
15	59100000	59300000	0
15	59300000	63700000	25
15	63700000	67200000	0
15	67200000	67300000	25
15	67300000	67500000	0
15	67500000	72700000	25
15	72700000	75200000	0
15	75200000	76600000	25
15	76600000	78300000	0
15	78300000	81700000	50
15	81700000	85200000	0
15	85200000	89100000	50
15	89100000	94300000	0
15	94300000	98500000	50
15	98500000	102531392	0
16	0	7900000	0
16	7900000	10500000	50
16	10500000	12600000	0
16	12600000	14800000	50
16	14800000	16800000	0
16	16800000	21200000	50
16	21200000	24200000	0
16	24200000	28100000	50
16	28100000	34600000	0
16	34600000	36600000	-100
16	36600000	38600000	-100
16	38600000	47000000	10
16	47000000	52600000	0
16	52600000	56700000	50
16	56700000	57400000	0
16	57400000	66700000	100
16	66700000	70800000	0
16	70800000	72900000	50
16	72900000	74100000	0
16	74100000	79200000	75
16	79200000	81700000	0
16	81700000	84200000	50
16	84200000	87100000	0
16	87100000	88700000	25
16	88700000	90354753	0
17	0	3300000	0
17	3300000	6500000	50
17	6500000	10700000	0
17	10700000	16000000	75
17	16000000	22200000	0
17	22200000	24000000	-100
17	24000000	25800000	-100
17	25800000	31800000	0
17	31800000	38100000	50
17	38100000	38400000	0
17	38400000	40900000	25
17	40900000	44900000	0
17	44900000	47400000	25
17	47400000	50200000	0
17	50200000	57600000	75
17	57600000	58300000	0
17	58300000	61100000	75
17	61100000	62600000	0
17	62600000	64200000	50
17	64200000	67100000	0
17	67100000	70900000	75
17	70900000	74800000	0
17	74800000	75300000	25
17	75300000	81195210	0
18	0	2900000	0
18	2900000	7100000	50
18	7100000	8500000	0
18	8500000	10900000	25
18	10900000	15400000	0
18	15400000	17200000	-100
18	17200000	19000000	-100
18	19000000	25000000	0
18	25000000	32700000	100
18	32700000	37200000	0
18	37200000	43500000	75
18	43500000	48200000	0
18	48200000	53800000	75
18	53800000	56200000	0
18	56200000	59000000	50
18	59000000	61600000	0
18	61600000	66800000	100
18	66800000	68700000	0
18	68700000	73100000	25
18	73100000	78077248	0
19	0	6900000	0
19	6900000	13900000	25
19	13900000	14000000	0
19	14000000	16300000	25
19	16300000	20000000	0
19	20000000	24400000	10
19	24400000	26500000	-100
19	26500000	28600000	-100
19	28600000	32400000	10
19	32400000	35500000	0
19	35500000	38300000	25
19	38300000	38700000	0
19	38700000	43400000	25
19	43400000	45200000	0
19	45200000	48000000	25
19	48000000	51400000	0
19	51400000	53600000	25
19	53600000	56300000	0
19	56300000	59128983	25
2	0	4400000	0
2	4400000	7100000	50
2	7100000	12200000	0
2	12200000	16700000	75
2	16700000	19200000	0
2	19200000	24000000	75
2	24000000	27900000	0
2	27900000	30000000	25
2	30000000	32100000	0
2	32100000	36600000	75
2	36600000	38600000	0
2	38600000	41800000	50
2	41800000	47800000	0
2	47800000	52900000	100
2	52900000	55000000	0
2	55000000	61300000	100
2	61300000	64100000	0
2	64100000	68600000	50
2	68600000	71500000	0
2	71500000	73500000	50
2	73500000	75000000	0
2	75000000	83300000	100
2	83300000	90500000	0
2	90500000	93300000	-100
2	93300000	96800000	-100
2	96800000	102700000	0
2	102700000	106000000	50
2	106000000	107500000	0
2	107500000	110200000	25
2	110200000	114400000	0
2	114400000	118800000	50
2	118800000	122400000	0
2	122400000	129900000	50
2	129900000	132500000	0
2	132500000	135100000	25
2	135100000	136800000	0
2	136800000	142200000	100
2	142200000	144100000	0
2	144100000	148700000	100
2	148700000	149900000	0
2	149900000	150500000	25
2	150500000	154900000	0
2	154900000	159800000	75
2	159800000	163700000	0
2	163700000	169700000	75
2	169700000	178000000	0
2	178000000	180600000	50
2	180600000	183000000	0
2	183000000	189400000	75
2	189400000	191900000	0
2	191900000	197400000	75
2	197400000	203300000	0
2	203300000	204900000	50
2	204900000	209000000	0
2	209000000	215300000	100
2	215300000	221500000	0
2	221500000	225200000	75
2	225200000	226100000	0
2	226100000	231000000	100
2	231000000	235600000	0
2	235600000	237300000	50
2	237300000	243199373	0
20	0	5100000	0
20	5100000	9200000	75
20	9200000	12100000	0
20	12100000	17900000	75
20	17900000	21300000	0
20	21300000	22300000	25
20	22300000	25600000	0
20	25600000	27500000	-100
20	27500000	29400000	-100
20	29400000	32100000	0
20	32100000	34400000	25
20	34400000	37600000	0
20	37600000	41700000	75
20	41700000	42100000	0
20	42100000	46400000	25
20	46400000	49800000	0
20	49800000	55000000	75
20	55000000	56500000	0
20	56500000	58400000	50
20	58400000	63025520	0
21	0	2800000	10
21	2800000	6800000	-10
21	6800000	10900000	10
21	10900000	13200000	-100
21	13200000	14300000	-100
21	14300000	16400000	0
21	16400000	24000000	100
21	24000000	26800000	0
21	26800000	31500000	75
21	31500000	35800000	0
21	35800000	37800000	50
21	37800000	39700000	0
21	39700000	42600000	50
21	42600000	48129895	0
22	0	3800000	10
22	3800000	8300000	-10
22	8300000	12200000	10
22	12200000	14700000	-100
22	14700000	17900000	-100
22	17900000	22200000	0
22	22200000	23500000	25
22	23500000	25900000	0
22	25900000	29600000	50
22	29600000	32200000	0
22	32200000	37600000	50
22	37600000	41000000	0
22	41000000	44200000	50
22	44200000	48400000	0
22	48400000	49400000	50
22	49400000	51304566	0
3	0	2800000	50
3	2800000	4000000	0
3	4000000	8700000	50
3	8700000	11800000	0
3	11800000	13300000	25
3	13300000	16400000	0
3	16400000	23900000	100
3	23900000	26400000	0
3	26400000	30900000	75
3	30900000	32100000	0
3	32100000	36500000	50
3	36500000	39400000	0
3	39400000	43700000	75
3	43700000	44100000	0
3	44100000	44200000	50
3	44200000	50600000	0
3	50600000	52300000	25
3	52300000	54400000	0
3	54400000	58600000	50
3	58600000	63700000	0
3	63700000	69800000	50
3	69800000	74200000	0
3	74200000	79800000	75
3	79800000	83500000	0
3	83500000	87200000	75
3	87200000	87900000	0
3	87900000	91000000	-100
3	91000000	93900000	-100
3	93900000	98300000	10
3	98300000	100000000	0
3	100000000	100900000	25
3	100900000	102800000	0
3	102800000	106200000	75
3	106200000	107900000	0
3	107900000	111300000	50
3	111300000	113500000	0
3	113500000	117300000	75
3	117300000	119000000	0
3	119000000	121900000	75
3	121900000	123800000	0
3	123800000	125800000	25
3	125800000	129200000	0
3	129200000	133700000	25
3	133700000	135700000	0
3	135700000	138700000	25
3	138700000	142800000	0
3	142800000	148900000	100
3	148900000	152100000	0
3	152100000	155000000	50
3	155000000	157000000	0
3	157000000	159000000	50
3	159000000	160700000	0
3	160700000	167600000	100
3	167600000	170900000	0
3	170900000	175700000	75
3	175700000	179000000	0
3	179000000	182700000	75
3	182700000	184500000	0
3	184500000	186000000	25
3	186000000	187900000	0
3	187900000	192300000	75
3	192300000	198022430	0
4	0	4500000	0
4	4500000	6000000	25
4	6000000	11300000	0
4	11300000	15200000	50
4	15200000	17800000	0
4	17800000	21300000	75
4	21300000	27700000	0
4	27700000	35800000	100
4	35800000	41200000	0
4	41200000	44600000	50
4	44600000	48200000	0
4	48200000	50400000	-100
4	50400000	52700000	-100
4	52700000	59500000	0
4	59500000	66600000	100
4	66600000	70500000	0
4	70500000	76300000	75
4	76300000	78900000	0
4	78900000	82400000	50
4	82400000	84100000	0
4	84100000	86900000	25
4	86900000	88000000	0
4	88000000	93700000	75
4	93700000	95100000	0
4	95100000	98800000	75
4	98800000	101100000	0
4	101100000	107700000	50
4	107700000	114100000	0
4	114100000	120800000	75
4	120800000	123800000	0
4	123800000	128800000	50
4	128800000	131100000	0
4	131100000	139500000	100
4	139500000	141500000	0
4	141500000	146800000	25
4	146800000	148500000	0
4	148500000	151100000	25
4	151100000	155600000	0
4	155600000	161800000	100
4	161800000	164500000	0
4	164500000	170100000	100
4	170100000	171900000	0
4	171900000	176300000	75
4	176300000	177500000	0
4	177500000	183200000	100
4	183200000	187100000	0
4	187100000	191154276	25
5	0	4500000	0
5	4500000	6300000	25
5	6300000	9800000	0
5	9800000	15000000	50
5	15000000	18400000	0
5	18400000	23300000	100
5	23300000	24600000	0
5	24600000	28900000	100
5	28900000	33800000	0
5	33800000	38400000	25
5	38400000	42500000	0
5	42500000	46100000	50
5	46100000	48400000	-100
5	48400000	50700000	-100
5	50700000	58900000	0
5	58900000	62900000	75
5	62900000	63200000	0
5	63200000	66700000	75
5	66700000	68400000	0
5	68400000	73300000	50
5	73300000	76900000	0
5	76900000	81400000	50
5	81400000	82800000	0
5	82800000	92300000	100
5	92300000	98200000	0
5	98200000	102800000	100
5	102800000	104500000	0
5	104500000	109600000	100
5	109600000	111500000	0
5	111500000	113100000	50
5	113100000	115200000	0
5	115200000	121400000	100
5	121400000	127300000	0
5	127300000	130600000	100
5	130600000	136200000	0
5	136200000	139500000	25
5	139500000	144500000	0
5	144500000	149800000	75
5	149800000	152700000	0
5	152700000	155700000	50
5	155700000	159900000	0
5	159900000	168500000	100
5	168500000	172800000	0
5	172800000	176600000	25
5	176600000	180915260	0
6	0	2300000	0
6	2300000	4200000	25
6	4200000	7100000	0
6	7100000	10600000	50
6	10600000	11600000	0
6	11600000	13400000	25
6	13400000	15200000	0
6	15200000	25200000	75
6	25200000	27000000	0
6	27000000	30400000	50
6	30400000	32100000	0
6	32100000	33500000	25
6	33500000	36600000	0
6	36600000	40500000	25
6	40500000	46200000	0
6	46200000	51800000	100
6	51800000	52900000	0
6	52900000	57000000	100
6	57000000	58700000	0
6	58700000	61000000	-100
6	61000000	63300000	-100
6	63300000	63400000	0
6	63400000	70000000	100
6	70000000	75900000	0
6	75900000	83900000	50
6	83900000	84900000	0
6	84900000	88000000	50
6	88000000	93100000	0
6	93100000	99500000	100
6	99500000	100600000	0
6	100600000	105500000	100
6	105500000	114600000	0
6	114600000	118300000	75
6	118300000	118500000	0
6	118500000	126100000	100
6	126100000	127100000	0
6	127100000	130300000	75
6	130300000	131200000	0
6	131200000	135200000	50
6	135200000	139000000	0
6	139000000	142800000	75
6	142800000	145600000	0
6	145600000	149000000	75
6	149000000	152500000	0
6	152500000	155500000	50
6	155500000	161000000	0
6	161000000	164500000	50
6	164500000	171115067	0
7	0	2800000	0
7	2800000	4500000	25
7	4500000	7300000	0
7	7300000	13800000	100
7	13800000	16500000	0
7	16500000	20900000	100
7	20900000	25500000	0
7	25500000	28000000	50
7	28000000	28800000	0
7	28800000	35000000	75
7	35000000	37200000	0
7	37200000	43300000	75
7	43300000	45400000	0
7	45400000	49000000	75
7	49000000	50500000	0
7	50500000	54000000	75
7	54000000	58000000	0
7	58000000	59900000	-100
7	59900000	61700000	-100
7	61700000	67000000	0
7	67000000	72200000	50
7	72200000	77500000	0
7	77500000	86400000	100
7	86400000	88200000	0
7	88200000	91100000	75
7	91100000	92800000	0
7	92800000	98000000	75
7	98000000	103800000	0
7	103800000	104500000	50
7	104500000	107400000	0
7	107400000	114600000	75
7	114600000	117400000	0
7	117400000	121100000	75
7	121100000	123800000	0
7	123800000	127100000	75
7	127100000	129200000	0
7	129200000	130400000	25
7	130400000	132600000	0
7	132600000	138200000	50
7	138200000	143100000	0
7	143100000	147900000	75
7	147900000	152600000	0
7	152600000	155100000	25
7	155100000	159138663	0
8	0	2200000	0
8	2200000	6200000	75
8	6200000	12700000	0
8	12700000	19000000	100
8	19000000	23300000	0
8	23300000	27400000	50
8	27400000	28800000	0
8	28800000	36500000	75
8	36500000	38300000	0
8	38300000	39700000	25
8	39700000	43100000	0
8	43100000	45600000	-100
8	45600000	48100000	-100
8	48100000	52200000	0
8	52200000	52600000	75
8	52600000	55500000	0
8	55500000	61600000	50
8	61600000	62200000	0
8	62200000	66000000	50
8	66000000	68000000	0
8	68000000	70500000	50
8	70500000	73900000	0
8	73900000	78300000	100
8	78300000	80100000	0
8	80100000	84600000	75
8	84600000	86900000	0
8	86900000	93300000	100
8	93300000	99000000	0
8	99000000	101600000	25
8	101600000	106200000	0
8	106200000	110500000	75
8	110500000	112100000	0
8	112100000	117700000	100
8	117700000	119200000	0
8	119200000	122500000	50
8	122500000	127300000	0
8	127300000	131500000	50
8	131500000	136400000	0
8	136400000	139900000	75
8	139900000	146364022	0
9	0	2200000	0
9	2200000	4600000	25
9	4600000	9000000	0
9	9000000	14200000	75
9	14200000	16600000	0
9	16600000	18500000	25
9	18500000	19900000	0
9	19900000	25600000	100
9	25600000	28000000	0
9	28000000	33200000	100
9	33200000	36300000	0
9	36300000	38400000	25
9	38400000	41000000	0
9	41000000	43600000	50
9	43600000	47300000	0
9	47300000	49000000	-100
9	49000000	50700000	-100
9	50700000	65900000	10
9	65900000	68700000	0
9	68700000	72200000	25
9	72200000	74000000	0
9	74000000	79200000	50
9	79200000	81100000	0
9	81100000	84100000	50
9	84100000	86900000	0
9	86900000	90400000	50
9	90400000	91800000	0
9	91800000	93900000	25
9	93900000	96600000	0
9	96600000	99300000	25
9	99300000	102600000	0
9	102600000	108200000	100
9	108200000	111300000	0
9	111300000	114900000	25
9	114900000	117700000	0
9	117700000	122500000	75
9	122500000	125800000	0
9	125800000	130300000	25
9	130300000	133500000	0
9	133500000	134000000	25
9	134000000	135900000	0
9	135900000	137400000	25
9	137400000	141213431	0
X	0	4300000	0
X	4300000	6000000	50
X	6000000	9500000	0
X	9500000	17100000	50
X	17100000	19300000	0
X	19300000	21900000	50
X	21900000	24900000	0
X	24900000	29300000	100
X	29300000	31500000	0
X	31500000	37600000	100
X	37600000	42400000	0
X	42400000	46400000	75
X	46400000	49800000	0
X	49800000	54800000	25
X	54800000	58100000	0
X	58100000	60600000	-100
X	60600000	63000000	-100
X	63000000	64600000	0
X	64600000	67800000	50
X	67800000	71800000	0
X	71800000	73900000	50
X	73900000	76000000	0
X	76000000	84600000	100
X	84600000	86200000	0
X	86200000	91800000	100
X	91800000	93500000	0
X	93500000	98300000	75
X	98300000	102600000	0
X	102600000	103700000	50
X	103700000	108700000	0
X	108700000	116500000	75
X	116500000	120900000	0
X	120900000	128700000	100
X	128700000	130400000	0
X	130400000	133600000	25
X	133600000	138000000	0
X	138000000	140300000	75
X	140300000	142100000	0
X	142100000	147100000	100
X	147100000	155270560	0
Y	0	2500000	0
Y	2500000	3000000	50
Y	3000000	11600000	0
Y	11600000	12500000	-100
Y	12500000	13400000	-100
Y	13400000	15100000	0
Y	15100000	19800000	50
Y	19800000	22100000	0
Y	22100000	26200000	50
Y	26200000	28800000	0
Y	28800000	59373566	10
